expediente;fecha_audiencia;hora
00984-2018-0-3301-JR-FT-01_61;2019-01-23;14:30
00984-2018-0-3301-JR-FT-01_61;2019-01-23;12:53
00983-2018-0-3301-JR-FT-01_61;2019-01-23;12:24
00762-2018-0-3301-JR-FT-01_61;2019-01-23;11:55
00942-2018-0-3301-JR-FT-01_61;2019-01-23;11:26
00732-2018-0-3301-JR-FT-01_61;2019-01-23;10:57
00806-2018-0-3301-JR-FT-01_61;2019-01-23;10:28
00966-2018-0-3301-JR-FT-01_61;2019-01-23;09:59
00963-2018-0-3301-JR-FT-01_61;2019-01-23;09:30
00965-2018-0-3301-JR-FT-01_61;2019-01-23;09:00
00047-2018-0-3301-JR-CI-01_61;2019-01-22;10:30
00081-2017-0-3301-JR-CI-01_61;2019-01-22;10:12
00680-2018-0-3301-JR-FC-01_61;2019-01-15;11:41
00221-2018-0-3301-JR-FC-01_61;2019-01-15;11:00
00243-2018-0-3301-JR-FC-01_61;2019-01-15;09:30
00176-2017-0-3301-JR-CI-01_61;2019-01-14;12:30
00849-2018-0-3301-JR-FP-01_61;2019-01-14;11:00
00511-2018-0-3301-JR-FP-01_61;2019-01-14;09:30
00036-2019-0-3301-JR-FT-01_61;2019-01-11;17:00
00035-2019-0-3301-JR-FT-01_61;2019-01-11;15:58
00032-2019-0-3301-JR-FT-01_61;2019-01-11;15:29
00027-2019-0-3301-JR-FT-01_61;2019-01-11;15:00
00023-2019-0-3301-JR-FT-01_61;2019-01-11;14:30
00031-2019-0-3301-JR-FT-01_61;2019-01-11;12:52
00030-2019-0-3301-JR-FT-01_61;2019-01-11;12:23
00020-2019-0-3301-JR-FT-01_61;2019-01-11;11:54
00037-2019-0-3301-JR-FT-01_61;2019-01-11;11:25
00019-2019-0-3301-JR-FT-01_61;2019-01-11;10:56
00033-2019-0-3301-JR-FT-01_61;2019-01-11;10:27
00034-2019-0-3301-JR-FT-01_61;2019-01-11;09:58
00025-2019-0-3301-JR-FT-01_61;2019-01-11;09:29
00026-2019-0-3301-JR-FT-01_61;2019-01-11;09:00
00024-2019-0-3301-JR-FT-01_61;2019-01-11;08:30
00684-2017-0-3301-JR-FP-01_61;2019-01-10;15:00
00853-2018-0-3301-JR-FC-01_61;2019-01-10;11:30
00833-2018-0-3301-JR-FT-01_61;2019-01-10;10:00
01013-2018-0-3301-JR-FT-01_61;2019-01-09;11:55
01006-2018-0-3301-JR-FT-01_61;2019-01-09;11:26
01007-2018-0-3301-JR-FT-01_61;2019-01-09;10:57
00877-2018-0-3301-JR-FT-01_61;2019-01-09;10:28
00936-2018-0-3301-JR-FT-01_61;2019-01-09;09:59
00916-2018-0-3301-JR-FT-01_61;2019-01-09;09:30
00886-2018-0-3301-JR-FT-01_61;2019-01-09;09:00
00822-2018-0-3301-JR-FC-01_61;2019-01-08;11:53
00161-2017-0-3301-JR-CI-01_61;2019-01-08;10:24
00359-2017-0-3301-JR-FC-01_61;2019-01-08;10:18
00246-2018-0-3301-JR-FP-01_61;2019-01-07;10:00
