expediente;fecha_remision;;;
00031-2016-0-3301-JR-FC-01_62;2019-01-09;;;
00101-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00104-2016-0-3301-JR-FT-01_62;2019-01-09;;;
00161-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00164-2016-0-3301-JR-FT-01_59;2019-01-18;;;
00165-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00167-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00168-2016-0-3301-JR-FT-01_59;2019-01-09;;;
00169-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00171-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00173-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00175-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00176-2016-0-3301-JR-FT-01_59;2019-01-09;;;
00178-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00369-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00370-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00372-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00374-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00378-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00382-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00383-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00388-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00391-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00396-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00517-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00519-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00526-2016-0-3301-JR-FT-01_58;S;58:15.9;;
00527-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00535-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00537-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00541-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00543-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00545-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00549-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00755-2016-0-3301-JR-FT-01_58;FISCALIA;S;46:09.9;
00761-2016-0-3301-JR-FT-01_58;2019-01-21;;;
00764-2016-0-3301-JR-FT-01_58;2019-01-21;;;
00766-2016-0-3301-JR-FT-01_58;2019-01-21;;;
00768-2016-0-3301-JR-FT-01_58;S;36:52.4;;
00770-2016-0-3301-JR-FT-01_58;S;36:52.4;;
00773-2016-0-3301-JR-FT-01_58;S;36:52.4;;
00775-2016-0-3301-JR-FT-01_58;S;24:16.9;;
00779-2016-0-3301-JR-FT-01_58;1900-01-19;FISCALIA;S;44:52.1
00784-2016-0-3301-JR-FT-01_58;S;36:52.4;;
00786-2016-0-3301-JR-FT-01_58;2019-01-21;;;
00789-2016-0-3301-JR-FT-01_58;2019-01-21;;;
00791-2016-0-3301-JR-FT-01_58;2019-01-21;;;
00796-2016-0-3301-JR-FT-01_58;2019-01-21;;;
00800-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00809-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00811-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00816-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00818-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00820-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00822-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00824-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00826-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00828-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00830-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00836-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00838-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00846-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00849-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00858-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00867-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00869-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00875-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00877-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00882-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00888-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00890-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00024-2017-0-3301-JR-FT-01_59;ARCHIVO (ENVIADO);S;33:10.1;
00026-2017-0-3301-JR-FT-01_59;ARCHIVO (ENVIADO);S;22:51.9;
00103-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00105-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00130-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00133-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00170-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00304-2017-0-3301-JR-FT-01_59;2019-01-31;;;
00309-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00355-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00358-2017-0-3301-JR-FT-01_59;2019-01-18;;;
00411-2017-0-3301-JR-FC-01_59;2019-01-31;;;
00418-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00421-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00495-2017-0-3301-JR-FT-01_59;2019-01-31;;;
00498-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00560-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00562-2017-0-3301-JR-FT-01_57;S;29:12.6;;
00565-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00575-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00594-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00728-2017-0-3301-JR-FT-01_59;2019-01-10;;;
00745-2017-0-3301-JR-FT-01_59;2019-01-09;;;
00828-2017-0-3301-JR-FT-01_59;2019-01-31;;;
02072-2017-0-3301-JR-FT-01_57;FISCALIA;S;47:22.9;
00131-2018-0-3301-JR-CI-01_59;2019-01-18;;;
00278-2018-0-3301-JR-FT-01_59;2019-01-31;;;
00418-2018-0-3301-JR-FT-01_59;2019-01-31;;;
00421-2018-0-3301-JR-FT-01_59;2019-01-09;;;
00073-2016-0-3301-JR-FT-01_62;2019-01-18;;;
00145-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00147-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00155-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00345-2016-0-3301-JR-FT-01_58;FISCALIA;S;51:10.1;
00347-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00353-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00357-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00366-2016-0-3301-JR-FT-01_58;FISCALIA;S;26:11.4;
00367-2016-0-3301-JR-FT-01_58;FISCALIA;S;19:43.6;
00476-2016-0-3301-JR-FT-01_58;S;28:24.0;;
00480-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00486-2016-0-3301-JR-FT-01_58;S;20:44.1;;
00488-2016-0-3301-JR-FT-01_58;S;28:24.0;;
00493-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00495-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00500-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00502-2016-0-3301-JR-FT-01_58;S;20:44.1;;
00504-2016-0-3301-JR-FT-01_58;S;20:44.1;;
00506-2016-0-3301-JR-FT-01_58;S;20:44.1;;
00508-2016-0-3301-JR-FT-01_58;2019-01-22;;;
00654-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00656-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00658-2016-0-3301-JR-FT-01_58;2019-01-23;;;
00660-2016-0-3301-JR-FT-01_58;2019-01-23;;;
