expediente;fecha_remision
01113-2016-0-3301-JR-FT-01;2019-01-23
00846-2016-0-3301-JR-FT-01;2019-01-23
00869-2016-0-3301-JR-FT-01;2019-01-23
00867-2016-0-3301-JR-FT-01;2019-01-23
00875-2016-0-3301-JR-FT-01;2019-01-23
00849-2016-0-3301-JR-FT-01;2019-01-23
00811-2016-0-3301-JR-FT-01;2019-01-23
00822-2016-0-3301-JR-FT-01;2019-01-23
01226-2017-0-3301-JR-FT-01;2019-01-23
00409-2016-0-3301-JR-FT-01;2019-01-22
00404-2016-0-3301-JR-FT-01;2019-01-22
00508-2016-0-3301-JR-FT-01;2019-01-22
00543-2016-0-3301-JR-FT-01;2019-01-22
00429-2016-0-3301-JR-FT-01;2019-01-22
00517-2016-0-3301-JR-FT-01;2019-01-22
00488-2016-0-3301-JR-FT-01;2019-01-22
00495-2016-0-3301-JR-FT-01;2019-01-22
00493-2016-0-3301-JR-FT-01;2019-01-22
00417-2016-0-3301-JR-FT-01;2019-01-22
00465-2016-0-3301-JR-FT-01;2019-01-22
00476-2016-0-3301-JR-FT-01;2019-01-22
00444-2016-0-3301-JR-FT-01;2019-01-22
00447-2016-0-3301-JR-FT-01;2019-01-22
00451-2016-0-3301-JR-FT-01;2019-01-22
00480-2016-0-3301-JR-FT-01;2019-01-22
00457-2016-0-3301-JR-FT-01;2019-01-22
00459-2016-0-3301-JR-FT-01;2019-01-22
00460-2016-0-3301-JR-FT-01;2019-01-22
00378-2016-0-3301-JR-FT-01;2019-01-22
00535-2016-0-3301-JR-FT-01;2019-01-22
00527-2016-0-3301-JR-FT-01;2019-01-22
00526-2016-0-3301-JR-FT-01;2019-01-22
00556-2016-0-3301-JR-FT-01;2019-01-22
00586-2016-0-3301-JR-FT-01;2019-01-22
00504-2016-0-3301-JR-FT-01;2019-01-22
00413-2016-0-3301-JR-FT-01;2019-01-22
00486-2016-0-3301-JR-FT-01;2019-01-22
00382-2016-0-3301-JR-FT-01;2019-01-22
00593-2016-0-3301-JR-FT-01;2019-01-22
00588-2016-0-3301-JR-FT-01;2019-01-22
00502-2016-0-3301-JR-FT-01;2019-01-22
00500-2016-0-3301-JR-FT-01;2019-01-22
00541-2016-0-3301-JR-FT-01;2019-01-22
00577-2016-0-3301-JR-FT-01;2019-01-22
00582-2016-0-3301-JR-FT-01;2019-01-22
00545-2016-0-3301-JR-FT-01;2019-01-22
00549-2016-0-3301-JR-FT-01;2019-01-22
00551-2016-0-3301-JR-FT-01;2019-01-22
00558-2016-0-3301-JR-FT-01;2019-01-22
00570-2016-0-3301-JR-FT-01;2019-01-22
00573-2016-0-3301-JR-FT-01;2019-01-22
00519-2016-0-3301-JR-FT-01;2019-01-22
00537-2016-0-3301-JR-FT-01;2019-01-22
00506-2016-0-3301-JR-FT-01;2019-01-22
00173-2016-0-3301-JR-FT-01;2019-01-22
00171-2016-0-3301-JR-FT-01;2019-01-22
00169-2016-0-3301-JR-FT-01;2019-01-22
00167-2016-0-3301-JR-FT-01;2019-01-22
01109-2016-0-3301-JR-FT-01;2019-01-22
01105-2016-0-3301-JR-FT-01;2019-01-22
01123-2016-0-3301-JR-FT-01;2019-01-22
01179-2016-0-3301-JR-FT-01;2019-01-22
01057-2016-0-3301-JR-FT-01;2019-01-22
01047-2016-0-3301-JR-FT-01;2019-01-22
01045-2016-0-3301-JR-FT-01;2019-01-22
00383-2016-0-3301-JR-FT-01;2019-01-22
00178-2016-0-3301-JR-FT-01;2019-01-22
00728-2016-0-3301-JR-FT-01;2019-01-22
00735-2016-0-3301-JR-FT-01;2019-01-22
00775-2016-0-3301-JR-FT-01;2019-01-22
00190-2016-0-3301-JR-FT-01;2019-01-22
00186-2016-0-3301-JR-FT-01;2019-01-22
00175-2016-0-3301-JR-FT-01;2019-01-22
00725-2016-0-3301-JR-FT-01;2019-01-21
01006-2016-0-3301-JR-FT-01;2019-01-21
00779-2016-0-3301-JR-FT-01;2019-01-21
01202-2016-0-3301-JR-FT-01;2019-01-21
01200-2016-0-3301-JR-FT-01;2019-01-21
00786-2016-0-3301-JR-FT-01;2019-01-21
00789-2016-0-3301-JR-FT-01;2019-01-21
00791-2016-0-3301-JR-FT-01;2019-01-21
00784-2016-0-3301-JR-FT-01;2019-01-21
00764-2016-0-3301-JR-FT-01;2019-01-21
00766-2016-0-3301-JR-FT-01;2019-01-21
00768-2016-0-3301-JR-FT-01;2019-01-21
00770-2016-0-3301-JR-FT-01;2019-01-21
00773-2016-0-3301-JR-FT-01;2019-01-21
01029-2016-0-3301-JR-FT-01;2019-01-21
00761-2016-0-3301-JR-FT-01;2019-01-21
00713-2016-0-3301-JR-FT-01;2019-01-21
00715-2016-0-3301-JR-FT-01;2019-01-21
01233-2016-0-3301-JR-FT-01;2019-01-21
01091-2016-0-3301-JR-FT-01;2019-01-21
00198-2016-0-3301-JR-FT-01;2019-01-21
01087-2016-0-3301-JR-FT-01;2019-01-21
00796-2016-0-3301-JR-FT-01;2019-01-21
00755-2016-0-3301-JR-FT-01;2019-01-21
01032-2016-0-3301-JR-FT-01;2019-01-21
01238-2016-0-3301-JR-FT-01;2019-01-21
01209-2016-0-3301-JR-FT-01;2019-01-21
01207-2016-0-3301-JR-FT-01;2019-01-21
01339-2018-0-3301-JR-FT-01;2019-01-16
02126-2018-0-3301-JR-FT-01;2019-01-09
00348-2017-0-3301-JR-FC-01;2019-01-08
01504-2018-0-3301-JR-FT-01;2019-01-04
02028-2018-0-3301-JR-FT-01;2019-02-06
02029-2018-0-3301-JR-FT-01;2019-02-06
02052-2018-0-3301-JR-FT-01;2019-02-06
02051-2018-0-3301-JR-FT-01;2019-02-06
02054-2018-0-3301-JR-FT-01;2019-02-06
02030-2018-0-3301-JR-FT-01;2019-02-06
02039-2018-0-3301-JR-FT-01;2019-02-06
02040-2018-0-3301-JR-FT-01;2019-02-06
02041-2018-0-3301-JR-FT-01;2019-02-06
02036-2018-0-3301-JR-FT-01;2019-02-06
02020-2018-0-3301-JR-FT-01;2019-02-06
02022-2018-0-3301-JR-FT-01;2019-02-06
02024-2018-0-3301-JR-FT-01;2019-02-06
02026-2018-0-3301-JR-FT-01;2019-02-06
02033-2018-0-3301-JR-FT-01;2019-02-06
02023-2018-0-3301-JR-FT-01;2019-02-06
02042-2018-0-3301-JR-FT-01;2019-02-06
02043-2018-0-3301-JR-FT-01;2019-02-06
02044-2018-0-3301-JR-FT-01;2019-02-06
02045-2018-0-3301-JR-FT-01;2019-02-06
02046-2018-0-3301-JR-FT-01;2019-02-06
02047-2018-0-3301-JR-FT-01;2019-02-06
02056-2018-0-3301-JR-FT-01;2019-02-06
02025-2018-0-3301-JR-FT-01;2019-02-06
02055-2018-0-3301-JR-FT-01;2019-02-06
02007-2018-0-3301-JR-FT-01;2019-02-06
02016-2018-0-3301-JR-FT-01;2019-02-06
02000-2018-0-3301-JR-FT-01;2019-02-06
02001-2018-0-3301-JR-FT-01;2019-02-06
02003-2018-0-3301-JR-FT-01;2019-02-06
02004-2018-0-3301-JR-FT-01;2019-02-06
02005-2018-0-3301-JR-FT-01;2019-02-06
02006-2018-0-3301-JR-FT-01;2019-02-06
02008-2018-0-3301-JR-FT-01;2019-02-06
02017-2018-0-3301-JR-FT-01;2019-02-06
02019-2018-0-3301-JR-FT-01;2019-02-06
02031-2018-0-3301-JR-FT-01;2019-02-06
02034-2018-0-3301-JR-FT-01;2019-02-06
02002-2018-0-3301-JR-FT-01;2019-02-06
02048-2018-0-3301-JR-FT-01;2019-02-06
02049-2018-0-3301-JR-FT-01;2019-02-06
02050-2018-0-3301-JR-FT-01;2019-02-06
02038-2018-0-3301-JR-FT-01;2019-02-06
02035-2018-0-3301-JR-FT-01;2019-02-06
02037-2018-0-3301-JR-FT-01;2019-02-06
02032-2018-0-3301-JR-FT-01;2019-02-06
01767-2018-0-3301-JR-FT-01;2019-02-06
01763-2018-0-3301-JR-FT-01;2019-02-06
01760-2018-0-3301-JR-FT-01;2019-02-06
01654-2018-0-3301-JR-FT-01;2019-02-06
01639-2018-0-3301-JR-FT-01;2019-02-06
02385-2018-0-3301-JR-FT-01;2019-02-06
02384-2018-0-3301-JR-FT-01;2019-02-06
02382-2018-0-3301-JR-FT-01;2019-02-06
02381-2018-0-3301-JR-FT-01;2019-02-06
02350-2018-0-3301-JR-FT-01;2019-02-06
02407-2018-0-3301-JR-FT-01;2019-02-06
02405-2018-0-3301-JR-FT-01;2019-02-06
02402-2018-0-3301-JR-FT-01;2019-02-06
02406-2018-0-3301-JR-FT-01;2019-02-06
02404-2018-0-3301-JR-FT-01;2019-02-06
02471-2018-0-3301-JR-FT-01;2019-02-06
02408-2018-0-3301-JR-FT-01;2019-02-06
02403-2018-0-3301-JR-FT-01;2019-02-06
02271-2018-0-3301-JR-FT-01;2019-02-06
02267-2018-0-3301-JR-FT-01;2019-02-06
02345-2018-0-3301-JR-FT-01;2019-02-06
02391-2018-0-3301-JR-FT-01;2019-02-06
02365-2018-0-3301-JR-FT-01;2019-02-06
02380-2018-0-3301-JR-FT-01;2019-02-06
02393-2018-0-3301-JR-FT-01;2019-02-06
02387-2018-0-3301-JR-FT-01;2019-02-06
02397-2018-0-3301-JR-FT-01;2019-02-06
02308-2018-0-3301-JR-FT-01;2019-02-06
02309-2018-0-3301-JR-FT-01;2019-02-06
02334-2018-0-3301-JR-FT-01;2019-02-06
02338-2018-0-3301-JR-FT-01;2019-02-06
02410-2018-0-3301-JR-FT-01;2019-02-06
02401-2018-0-3301-JR-FT-01;2019-02-06
02400-2018-0-3301-JR-FT-01;2019-02-06
02341-2018-0-3301-JR-FT-01;2019-02-06
02243-2018-0-3301-JR-FT-01;2019-02-07
02247-2018-0-3301-JR-FT-01;2019-02-07
02246-2018-0-3301-JR-FT-01;2019-02-07
02248-2018-0-3301-JR-FT-01;2019-02-07
02252-2018-0-3301-JR-FT-01;2019-02-07
02254-2018-0-3301-JR-FT-01;2019-02-07
02255-2018-0-3301-JR-FT-01;2019-02-07
02259-2018-0-3301-JR-FT-01;2019-02-07
02253-2018-0-3301-JR-FT-01;2019-02-07
02256-2018-0-3301-JR-FT-01;2019-02-07
02238-2018-0-3301-JR-FT-01;2019-02-07
02239-2018-0-3301-JR-FT-01;2019-02-07
02251-2018-0-3301-JR-FT-01;2019-02-07
02249-2018-0-3301-JR-FT-01;2019-02-07
02250-2018-0-3301-JR-FT-01;2019-02-07
02244-2018-0-3301-JR-FT-01;2019-02-07
02229-2018-0-3301-JR-FT-01;2019-02-07
02242-2018-0-3301-JR-FT-01;2019-02-07
02228-2018-0-3301-JR-FT-01;2019-02-07
02230-2018-0-3301-JR-FT-01;2019-02-07
02231-2018-0-3301-JR-FT-01;2019-02-07
02237-2018-0-3301-JR-FT-01;2019-02-07
02262-2018-0-3301-JR-FT-01;2019-02-07
02261-2018-0-3301-JR-FT-01;2019-02-07
02263-2018-0-3301-JR-FT-01;2019-02-07
02264-2018-0-3301-JR-FT-01;2019-02-07
02260-2018-0-3301-JR-FT-01;2019-02-07
02274-2018-0-3301-JR-FT-01;2019-02-07
02212-2018-0-3301-JR-FT-01;2019-02-07
02223-2018-0-3301-JR-FT-01;2019-02-07
02270-2018-0-3301-JR-FT-01;2019-02-07
02266-2018-0-3301-JR-FT-01;2019-02-07
02268-2018-0-3301-JR-FT-01;2019-02-07
02227-2018-0-3301-JR-FT-01;2019-02-07
02240-2018-0-3301-JR-FT-01;2019-02-07
02265-2018-0-3301-JR-FT-01;2019-02-07
01994-2018-0-3301-JR-FT-01;2019-02-07
01995-2018-0-3301-JR-FT-01;2019-02-07
01990-2018-0-3301-JR-FT-01;2019-02-07
01921-2018-0-3301-JR-FT-01;2019-02-07
01923-2018-0-3301-JR-FT-01;2019-02-07
01922-2018-0-3301-JR-FT-01;2019-02-07
01928-2018-0-3301-JR-FT-01;2019-02-07
01929-2018-0-3301-JR-FT-01;2019-02-07
01930-2018-0-3301-JR-FT-01;2019-02-07
01931-2018-0-3301-JR-FT-01;2019-02-07
01970-2018-0-3301-JR-FT-01;2019-02-07
01988-2018-0-3301-JR-FT-01;2019-02-07
01927-2018-0-3301-JR-FT-01;2019-02-07
01908-2018-0-3301-JR-FT-01;2019-02-07
01910-2018-0-3301-JR-FT-01;2019-02-07
01911-2018-0-3301-JR-FT-01;2019-02-07
01916-2018-0-3301-JR-FT-01;2019-02-07
01969-2018-0-3301-JR-FT-01;2019-02-07
01926-2018-0-3301-JR-FT-01;2019-02-07
01909-2018-0-3301-JR-FT-01;2019-02-07
01971-2018-0-3301-JR-FT-01;2019-02-07
01986-2018-0-3301-JR-FT-01;2019-02-07
01902-2018-0-3301-JR-FT-01;2019-02-07
01906-2018-0-3301-JR-FT-01;2019-02-07
01914-2018-0-3301-JR-FT-01;2019-02-07
01915-2018-0-3301-JR-FT-01;2019-02-07
01912-2018-0-3301-JR-FT-01;2019-02-07
01919-2018-0-3301-JR-FT-01;2019-02-07
01903-2018-0-3301-JR-FT-01;2019-02-07
01924-2018-0-3301-JR-FT-01;2019-02-07
01918-2018-0-3301-JR-FT-01;2019-02-07
01999-2018-0-3301-JR-FT-01;2019-02-07
01987-2018-0-3301-JR-FT-01;2019-02-07
01904-2018-0-3301-JR-FT-01;2019-02-07
01900-2018-0-3301-JR-FT-01;2019-02-07
01993-2018-0-3301-JR-FT-01;2019-02-07
01989-2018-0-3301-JR-FT-01;2019-02-07
01991-2018-0-3301-JR-FT-01;2019-02-07
01996-2018-0-3301-JR-FT-01;2019-02-07
01998-2018-0-3301-JR-FT-01;2019-02-07
