tblcomisaria_id;oficio;fdenuncia;fformalizacion;expediente;calificacion;hora;faudiencia;remitido;oficioremitido;fremision;ministerio;tblinstancia_id;asistencialegal;psicologia;tblmodulo_id;medida_file;institucion;tbldenuncia_id;fmedida
9;260-2019;2019-02-06;2019-02-12;776-2019;Ha lugar;00:00;2019-02-13;Ministerio Público;586-2019;2019-03-28;1;38;1;1;30;/img/denuncia/file_medida__1554481851.pdf;1;3;2019-02-13
12;050-2019;2019-01-06;2019-01-09;165-2019;Ha lugar;10:30;2019-01-11;;;;1;37;0;0;30;/img/denuncia/file_medida__1554486563.pdf;1;1;2019-01-11
10;045-2019;2019-01-07;2019-01-09;164-2019;Ha lugar;09:50;2019-01-11;;;;;37;0;0;30;/img/denuncia/file_medida__1554487166.pdf;1;1;2019-01-11
10;050-2019;2019-01-08;2019-01-09;163-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554488188.pdf;1;1;2019-01-10
9;038-2019;2019-01-07;2019-01-09;162-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554489215.pdf;1;3;2019-01-10
6;74-2019;2019-02-05;2019-02-13;789-2019;Ha lugar;14:50;2019-02-15;;;;1;38;0;0;30;/img/denuncia/file_medida__1554494878.pdf;1;1;2019-02-15
11;008-2019;2019-02-01;2019-02-04;625-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida_625-2019_1554494965.pdf;1;1;2019-02-05
7;222-2019;2019-02-12;2019-02-13;792-2019;Ha lugar;10:50;2019-02-20;Juzgado de Paz Letrado;423-19;2019-02-20;;38;0;0;30;/img/denuncia/file_medida__1554495577.pdf;1;1;2019-02-20
8;344-2019;2019-02-09;2019-03-05;795-2019;Ha lugar;15:30;2019-02-15;;;;;38;0;0;30;/img/denuncia/file_medida__1554497490.pdf;1;3;2019-02-15
154;072-2019;2019-02-01;2019-03-04;628-2019;Ha lugar;09:00;2019-02-06;;;;;37;0;0;30;/img/denuncia/file_medida_628-2019_1554499743.pdf;1;1;2019-02-06
154;90-2019;2019-02-11;2019-02-13;798-2019;Ha lugar;15:10;2019-02-15;;;;;38;0;0;30;/img/denuncia/file_medida__1554499317.pdf;1;2;2019-02-15
154;70-2019;2019-01-31;2019-02-04;629-2019;Ha lugar;00:00;;;;;;37;0;0;30;/img/denuncia/file_medida__1554500399.pdf;1;3;2019-02-05
11;20-2019;2019-02-08;2019-02-14;803-2019;Ha lugar;08:50;2019-02-18;;;;;38;0;0;30;/img/denuncia/file_medida__1554501228.pdf;1;1;2019-02-18
10;243-2019;2019-02-13;2019-02-14;806-2019;Ha lugar;09:30;2019-02-18;Ministerio Público;597-19;2019-03-13;;38;0;0;30;/img/denuncia/file_medida__1554502499.pdf;1;2;2019-02-18
7;160-2019;2019-01-31;2019-02-04;630-2019;Ha lugar;09:15;2019-02-06;;;;;37;0;0;30;/img/denuncia/file_medida__1554502680.pdf;1;2;2019-02-06
154;92-2019;2019-02-12;2019-02-14;808-2019;Ha lugar;09:10;2019-02-18;Ministerio Público;447-2019;2019-03-25;;38;0;0;30;/img/denuncia/file_medida__1554503761.pdf;1;1;2019-02-18
