id_comisaria;oficio;fecha_denuncia;fecha_formalizacion;expediente;calificacion;hora;fecha_audiencia;remitira;oficioremitido;fecha_audienciaremision;ministerio;c_instancia;asistencialegal;psicologia;id_modulo;medida_file
6; 13-2019;2019-01-02;2019-01-07;115-2019;Ha lugar;00:00;2019-01-09;;;;0;37;0;0;30;file_2lyiuvpx1547131457.pdf
6; 12-2019;2018-12-31;2019-01-07;116-2019;No ha lugar;00:00;2019-01-09;;;;0;37;0;0;30;file_0gj5ewj31547046300.pdf
6; 8-2019;2019-01-03;2019-01-07;117-2019;Ha lugar;00:00;2019-01-09;;;;0;37;0;0;30;file_f7oi9uhm1547132803.pdf
3; 68-2019;2019-01-06;2019-01-08;118-2019;Ha lugar;16:30;2019-01-08;Ministerio Público;93-2019;2019-01-14;0;28;0;0;30;file_50blxbt91547074450.pdf
3; 58-2019;2018-12-30;2019-01-08;119-2019;Ha lugar;00:00;2019-01-09;;;;0;28;0;0;30;file_vfs53pg71547074895.pdf
6; 4-2019;2018-12-29;2019-01-03;0012-2019;;00:00;;;;;0;26;0;0;30;
3; 69-2019;2019-01-06;2019-01-08;120-2019;Ha lugar;11:00;2019-01-09;;;;0;28;0;0;30;file_rtik8mzi1547220138.pdf
3; 70-2019;2019-01-04;2019-01-08;121-2019;Ha lugar;10:30;2019-01-09;;;;0;28;0;0;30;file_ya0bpoq31547246946.pdf
15; 7-2018;2019-01-07;2019-01-08;129-2019;Ha lugar;00:00;2019-01-09;;;;0;37;0;0;30;file_evnw91921547132740.pdf
3; 8-2019;2019-01-01;2019-01-03;13-2019;;10:10;2019-01-04;;;;0;28;0;0;30;file_3md26xr31546984804.pdf
13; 9-2019;2019-01-04;2019-01-08;132-2019;Ha lugar;00:00;2019-01-11;;;;0;37;0;0;30;file_ta3kmvu81547483396.pdf
7; 34-2019;2019-01-07;2019-01-08;135-2019;Ha lugar;00:00;2019-01-11;;;;0;37;0;0;30;file_hl0b5v6f1547483024.pdf
9; 34-2019;2019-01-07;2019-01-08;136-2019;Ha lugar;00:00;2019-01-14;;;;0;37;0;0;30;file_ilglg37g1547564723.pdf
9; 33-2019;2019-01-07;2019-01-08;137-2019;Ha lugar;00:00;2019-01-10;;;;0;37;0;0;30;file_z4copew21547482806.pdf
7; 37-2019;2019-01-07;2019-01-08;138-2019;Ha lugar;10:00;2019-01-09;;;;0;37;0;0;30;file_h3s1hfpb1547132153.pdf
1; 408-2018;2018-12-30;2019-01-03;14-2019;;00:00;;;;;0;26;0;0;30;
1; 005-2019;2019-01-06;2019-01-08;140-2019;Ha lugar;00:00;2019-01-10;;;;0;37;0;0;30;file_2jvpqfec1547482559.pdf
6; 16-2019;2019-01-04;2019-01-08;141-2019;Ha lugar;00:00;2019-01-09;;;;0;37;0;0;30;file_qgs5ruuf1547131524.pdf
6; 17-2019;2019-01-04;2019-01-08;142-2019;Ha lugar;00:00;2019-01-10;;;;0;37;0;0;30;file_aqtxx3k61547482672.pdf
3; 74-2019;2019-01-08;2019-01-09;143-2019;No ha lugar;00:00;2019-01-09;;;;0;28;0;0;30;file_bxrx88wh1547247224.pdf
3; 71-2019;2019-01-04;2019-01-09;144-2019;Ha lugar;15:30;2019-01-09;;;;0;28;0;0;30;file_6spaaqy31547247506.pdf
3; 77-2019;2019-01-07;2019-01-09;147-2019;Ha lugar;14:30;2019-01-09;;;;0;28;0;0;30;file_2b3awrx11547247846.pdf
3; 42-2019;2019-01-07;2019-01-09;148-2019;Ha lugar;15:00;2019-01-09;;;;0;28;0;0;30;file_xyl3i5fa1547248141.pdf
3; 84-2019;2019-01-04;2019-01-09;149-2019;Ha lugar;16:00;2019-01-09;;;;0;28;0;0;30;file_xajxyhpf1547560344.pdf
3; 1-2019;2018-12-31;2019-01-03;0015-2019;;10:30;2019-01-04;;;;0;28;0;0;30;file_l59dahut1546638819.pdf
1; 12-2019;2019-01-07;2019-01-10;154- 2019;Ha lugar;00:00;2019-01-14;;;;0;37;0;0;30;file_ayigj6gw1547563538.pdf
